Brand Name,Description
(4 ELEMENTS FOR LIFE),"N&B natural is better s.r.l
via Laterale Campo Sportivo
73025 Martano (LE)
Italy 
www.nbnaturalisbetter.com"
+ ALOE CANARIAS,"Aloe Plus Lanzarote S.L.
Polígono industrial Altavista II. Calle Océano Glacial Artico, 53. 
35500 ARRECIFE- LANZAROTE 
Spain
https://aloe-canarias.com/"
2CY COSMETICS,"R and C ENTERPRISE LTD 
Q Residence, Flat/Office 53 
Kalymnou, 10
6037 Larnaca
Cyprus
https://naturea.com"
4 PEOPLE WHO CARE,"4peoplewhocare UG (haftungsbeschränkt)
Holstenkamp 46a
22525 Hamburg 
Germany
www.4peoplewhocare.de
www.4peoplewhocare.com

We are 4 PEOPLE WHO CARE.

Four friends with a mission to protect biodiversity on your doorstep. With every product we sell we reinvest in the nature from which we get our raw materials. This impact is what drives us. Sounds idealistic - it is."
72K,"viocap AG
Bahnhofstrasse 21 B
4106 Therwil
Switzerland
https://72k.co
https://www.72k.ch"
ABITARA,"ESTABLISHMENT POIDER AL-AMTIAZ FOR TRADING
RIYADH, 13224 ABI ALKHATTAB 4876
SAUDI ARABIA
https://abitara.com.sa"
AEOS,"Aura-Soma Products Ltd.
South Road
Tetford
Lincolnshire
LN9 6QB
United Kingdom
www.aura-soma.com
www.aeos.net

Harnessing the vibrational powers of Mother Nature, Aura‑Soma is a system of colour, plant and crystal energies that enhance happiness and vitality. AEOS is the next generation in advanced biodynamic skincare. Created using the highest quality organic and biodynamic ingredients our products bring ease, balance and calm to your energetic system. Our formulations are blended, purified and activated resulting in a range of softening textures, soul-soothing colours and heavenly aromas.

Our philosophy is simple: to achieve your most beautiful complexion yet, we must first care for the soil, feed the skin and nourish the soul – and we do this in the most pure and kind way, to benefit as many people as possible. Sustainability is paramount to the AEOS way of life.

We believe in keeping our formulations as ‘pure’ as possible. For us this means all ingredients must be unprocessed and have no derivatives from animals."
AGWA,"KURUMA OG
Schönau 3 
6252 Breitenbach am Inn
Austria
www.agwa.at

Third party manufacturer
PURE GREEN GmbH
Gewerbepark 17
6426 Roppen
Austria
www.puregreen.at"
AHAVA,"AHAVA Dead Sea Laboratories Ltd 
 1 Arava Airport City
7019900 Israel 
https://global.ahava.com/"
ALAVI NATURAL COSMETICS,"ALAVI Natural Cosmetics d.o.o.
OMLADINSKA 6
51 000 Rijeka
Croatia
alavicosmetics.com

Our story does not begin with a product... It begins with a vision, a commitment to share the purest, most effective natural cosmetics with the world. 
Inspired by a woman who is not willing to make compromise between health & beauty, style & nature, Alavi tells a story about a woman in her quest to find the best, the purest organic ingredients. 
It witnesses a woman's journey within herself to find out she deserves the finest gifts that nature has to offer. 
Alavi brand is about finding out that you can have it all! 

Alavi Natural Cosmetics 
- a journey to yourself -"
ALLGÄUQUELLE NATURPRODUKTE,"Allgäuquelle Naturprodukte GmbH
Nieratzer Bad 2
88239 Wangen im Allgäu
www.allgaeuquelle.de"
ALOE VERA NATURKOSMETIK,"Anton Hübner GmbH & Co KG
Schloßstraße 11-17
79238 Ehrenkirchen
Germany
www.huebner-vital.com"
ALTERRA NATURKOSMETIK,"Dirk Rossmann GmbH
Isernhäger Straße 16
30938 Burgwedel
Germany
www.rossmann.de"
ALTEYA ORGANICS,"Alteya Organics LTD
45 Nikola Petkov Blvd (Suite 22) 
6000 Stara Zagora
Bulgaria
www.alteyaorganics.com
www.alteyaorganics.eu
www.alteyaorganics.jp"
ALVERDE NATURKOSMETIK,"dm-drogerie markt GmbH + Co. KG
Carl-Metz Str. 1
76185 Karlsruhe
Germany

https://www.dm.de/dm-marken/alverde/"
ALVIANA NATURKOSMETIK,"Bonano GmbH
Carl-Benz-Straße 9
64653 Lorsch
Germany

https://www.alviana.de/"
