Product Name,Brand,Certification,Manufacturer,Description
ARNICA MASSAGE OIL,Weleda,Organic cosmetics,Weleda AG,"Ingredients
Helianthus Annuus (Sunflower) Seed Oil*, Olea Europaea (Olive) Fruit Oil*, Fragrance (Parfum)**, Arnica Montana Flower Extract*, Betula Alba Leaf Extract, Limonene**, Linalool*, Geraniol**, Coumarin**
     *of controlled biological cultivation 
   ** from natural essential oils

Description
Used by athletes and sports masseurs, our totally natural Arnica Massage Oil warms and strengthens, nourishing skin and warming muscles. Apply before or after exercise to help stimulate a healthy blood flow and to relax muscles so protecting against cramps, muscle tension and soreness. Extracts of arnica blossom and birch leaves help the skin feel stronger, maintaining elasticity and stimulates natural regeneration. Invigorating rosemary, combined with relaxing lavender create a perfect balance of essential oils. Dermatologically tested and skin-kind.

Suitable for Vegans.

Usage
For massage, apply the oil to dry skin. Apply to slightly damp skin for faster absorption. Do not apply to broken skin."
BELEBENDE LOTION,Oceanwell,Natural cosmetics,oceanBASIS GmbH,"Ingredients
Aqua, Caprylic/Capric Triglyceride, Maris Aqua, Simmondsia Chinensis Oil*, Saccharomyces/Laminaria Saccharina Ferment, Hamamelis Virginiana Distillate, Glyceryl Stearate Citrate, Butyrospermum Parkii Butter*, Cetyl Alcohol, Alcohol (aus Fermentation der Algen), Glyceryl Stearate, Aloe Barbadensis Gel, konserviert mit/preserved with: Benzyl Alcohol, Glycerin, Benzoic Acid, Sorbic Acid.

Description
Oceanwell Invigorating Lotion

For beautiful, cared-for skin, full of vitality. Enriched with aloe vera and jojoba oil. Also perfect for oily skin.Revitalising - for velvety-soft skin"
GREEN CLAY,PRIMAVERA,Natural cosmetics,PRIMAVERA LIFE GmbH,
GOOD MOOD ORGANIC AROMA ROLL-ON,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Water (Aqua), Alcohol* org, Polyglyceryl-10 Laurate, Citrus Aurantium Amara (Bitter Orange) Flower Water* org, Fragrance (Parfum)**, Xanthan Gum, Citral**, Geraniol**, Limonene**, Linalool**
     *from controlled biological cultivation
  ** from natural essential oils

Main Ingredients 
- Lime Essential Oil improves concentration and revives energy. 
- Orange Essential Oil enhances a happy mood. 
- Organic Orange Blossom Water eases stress.

Description
This hassle-free roll on is an effective pick-me-up.

Usage
Perfect as a travel take-along, and for use at work. Roll onto neck, forehead and temples as needed, and breathe deeply. Shake before use."
ORGANIC LAVENDER WATER,PRIMAVERA,Natural cosmetics,PRIMAVERA LIFE GmbH,"Ingredients 
Lavandula Angustifolia (Lavender) Flower Water* org, Alcohol* org
   * certified organic

Description
The plant water from organically grown lavender from our cultivation partners in France and Italy relieves stress-related tension and soothes the skin.

Usage
Spray on the skin for face and body care. 
Can be applied over make-up. 
Suitable for wraps and compresses."
ORGANIC ORANGE BLOSSOM FLORAL WATER,PRIMAVERA,Natural cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Citrus Aurantium Amara (Bitter Orange) Flower Water* org, Alcohol* org, Linalool**, Limonene**, Geraniol**
     *from controlled biological cultivation
   ** from 100% natural essential oils

Description
The facial toner from organic orange blossoms from our cultivation partner in Egypt gives the skin natural moisture and restores its pH balance.

Usage
Spray on the skin for face and body care. 
Can be applied over make-up. 
Suitable for wraps and compresses."
ORGANIC PEPPERMINT WATER,PRIMAVERA,Natural cosmetics,PRIMAVERA LIFE GmbH,"Ingredients 
Mentha Piperita (Peppermint) Leaf Water* org, Alcohol* org
     *from controlled biological cultivation

Description
The plant water from organically grown peppermint from our cultivation partner in France refreshes, cools and activates when there is no drive.

Usage
Spray on the skin for face and body care. 
Can be applied over make-up. 
Suitable for wraps and compresses."
ORGANIC ROSE WATER,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Rosa Damascena Flower Water* org, Alcohol* org, Citronellol**
     *from controlled biological cultivation

Description
The floral water made from organically grown Damask Rose from our cultivation partner in Turkey provides the skin with natural moisture and restores its pH balance.

Usage
Spray on the skin for face and body care. 
Can be applied over make-up. 
Suitable for wraps and compresses."
ORGANIC WITCH HAZEL WATER,PRIMAVERA,Organic cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Hamamelis Virginiana (Witch Hazel) Leaf Water* org, Alcohol* org
     * org = certified organic cultivation

Description
The face lotion made from organically grown witch hazel from our cultivation partner in France provides the skin with natural moisture and restores its pH balance.

Usage
Spray on the skin for face and body care. 
Can be applied over make-up. 
Suitable for wraps and compresses."
WHEAT GERM OIL,PRIMAVERA,Natural cosmetics,PRIMAVERA LIFE GmbH,"Ingredients
Triticum Vulgare (Wheat) Germ Oil

Description
The oil protects the skin from free radicals and prevents skin damage.

Usage
Massage into the moist skin so that the oil is better absorbed."
WHITE CLAY,PRIMAVERA,Natural cosmetics,PRIMAVERA LIFE GmbH,
