Name,Manufacturer,Composition,INCI,Status,Expiration
ALPAFLOR® ABI Complex AO,DSM Nutritional Products Ltd,5% Natural (92% Organic) 68% Derived natural 0.5% Nature-identical 26% Water,"Glycerin Aqua Peucedanum Ostruthium Leaf Extract Buddleja Davidii Extract Artemisia Umbelliformis Extract Citric Acid, Sodium Benzoate Potassium Sorbate",certified,06/06/2026
ALPAFLOR® ARTEMISIA AO,DSM Nutritional Products Ltd,5% Natural (92% Organic) 69% Derived natural 0.45% Nature-identical 25% Water,Glycerin Aqua Artemisia Umbelliformis Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® BUDDLEJA AO,DSM Nutritional Products Ltd,5% Natural (92% Organic) 65% Derived natural 0.45% Nature-identical 29% Water,Glycerin Aqua Buddleja Davidii Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® EDELWEISS EP,DSM Nutritional Products Ltd,8% Natural (95% Organic) 62% Derived natural 0.45% Nature-identical 30% Water,Glycerin Aqua Leontopodium Alpinum Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® IMPERATORIA AO,DSM Nutritional Products Ltd,5% Natural (92% Organic) 69% Derived natural 0.45% Nature-identical 25% Water,Glycerin Aqua Peucedanum Ostruthium Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® LINUM AO,DSM Nutritional Products Ltd,5% Natural (96% Organic) 65% Derived natural 0.15% Nature-identical 30% Water,Glycerin Aqua Linum Alpinum Flower/Leaf/Stem Extract Citric Acid Potassium Sorbate,certified,06/06/2026
ALPAFLOR® MALVA AO,DSM Nutritional Products Ltd,6% Natural (91% Organic) 68% Derived natural 0.45% Nature-identical 26% Water,Glycerin Aqua Malva Sylvestris (Mallow) Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® MARRUBIUM AO,DSM Nutritional Products Ltd,5% Natural (93% Organic) 69% Derived natural 0.45% Nature-identical 25% Water,Glycerin Aqua Marrubium Vulgare Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
ALPAFLOR® NECTAPURE PF,DSM Nutritional Products Ltd,6% Natural (100% Organic) 65% Derived natural 29% Water,Glycerin Aqua Buddleja Davidii Extract Thymus Vulgaris Extract,certified,06/06/2026
ALPAFLOR® SAMBUCUS AO,DSM Nutritional Products Ltd,5% Natural (91% Organic) 68% Derived natural 0.45% Nature-identical 26% Water,Glycerin Aqua Sambucus Nigra Flower Extract Citric Acid Sodium Benzoate Potassium Sorbate,certified,06/06/2026
